作者	記錄	% of 648
ISHIGURO H	13	2.006
HAGITA N	10	1.543
CANGELOSI A	9	1.389
SHIOMI M	9	1.389
ASADA M	8	1.235
BELPAEME T	8	1.235
DAUTENHAHN K	8	1.235
KANDA T	7	1.080
LEE M	7	1.080
CHETOUANI M	6	0.926
DEL POBIL AP	6	0.926
DOMINEY PF	6	0.926
EYSSEL F	6	0.926
IVALDI S	6	0.926
METTA G	6	0.926
NAGAI Y	6	0.926
OUDEYER PY	6	0.926
ROHLFING KJ	6	0.926
BALDASSARRE G	5	0.772
CUIJPERS RH	5	0.772
NISHIO S	5	0.772
PARK E	5	0.772
POINTEAU G	5	0.772
SCHEUTZ M	5	0.772
SHAW P	5	0.772
SHINOZAWA K	5	0.772
TANI J	5	0.772
TANIGUCHI T	5	0.772
VANDERBORGHT B	5	0.772
AMIRABDOLLAHIAN F	4	0.617
BROADBENT E	4	0.617
BUSS M	4	0.617
CASTELLANO G	4	0.617
CHEN TL	4	0.617
DARIO P	4	0.617
GUERIN F	4	0.617
KEMP CC	4	0.617
KENNEDY J	4	0.617
KRAMER NC	4	0.617
LAW J	4	0.617
LEE J	4	0.617
LEFEBER D	4	0.617
MUTLU B	4	0.617
NEJAT G	4	0.617
NOLFI S	4	0.617
OGATA T	4	0.617
PAIVA A	4	0.617
PATTACINI U	4	0.617
PETIT M	4	0.617
ROSENTHAL-VON DER PUTTEN AM	4	0.617
SAUNDERS J	4	0.617
STOYTCHEV A	4	0.617
VENTURE G	4	0.617
WOLLHERR D	4	0.617
WREDE B	4	0.617
YANG JZ	4	0.617
YOSHIKAWA Y	4	0.617
ALAMI R	3	0.463
ALEMI M	3	0.463
ANZALONE SM	3	0.463
ARAI T	3	0.463
BALAGUER C	3	0.463
BARAKOVA EI	3	0.463
BARTNECK C	3	0.463
BARTO AG	3	0.463
BECKERLE P	3	0.463
BOUCENNA S	3	0.463
CABIBIHAN JJ	3	0.463
CANAMERO L	3	0.463
CAO HL	3	0.463
CHEN YM	3	0.463
DEMIRIS Y	3	0.463
ESTEBAN PG	3	0.463
EVERS V	3	0.463
GARCIA DH	3	0.463
GAUSSIER P	3	0.463
HAM J	3	0.463
HASHIMOTO M	3	0.463
IIO T	3	0.463
INAMURA T	3	0.463
JONES A	3	0.463
KRAFT D	3	0.463
KRICHMAR JL	3	0.463
KRUGER N	3	0.463
MACDONALD BA	3	0.463
MEGHDARI A	3	0.463
MONDADA F	3	0.463
