來源出版品標題	記錄	% of 648
INTERNATIONAL JOURNAL OF SOCIAL ROBOTICS	165	25.463
IEEE TRANSACTIONS ON COGNITIVE AND DEVELOPMENTAL SYSTEMS	66	10.185
IEEE TRANSACTIONS ON AUTONOMOUS MENTAL DEVELOPMENT	65	10.031
FRONTIERS IN NEUROROBOTICS	54	8.333
ROBOTICS AND AUTONOMOUS SYSTEMS	38	5.864
INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS	34	5.247
ADVANCED ROBOTICS	32	4.938
ROBOTICS AND COMPUTER INTEGRATED MANUFACTURING	32	4.938
INTERNATIONAL JOURNAL OF HUMANOID ROBOTICS	23	3.549
AUTONOMOUS ROBOTS	22	3.395
JOURNAL OF INTELLIGENT ROBOTIC SYSTEMS	17	2.623
APPLIED BIONICS AND BIOMECHANICS	14	2.160
INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH	14	2.160
ROBOTICA	12	1.852
IEEE ROBOTICS AUTOMATION MAGAZINE	10	1.543
SCIENCE ROBOTICS	8	1.235
IEEE TRANSACTIONS ON ROBOTICS	7	1.080
INTELLIGENT SERVICE ROBOTICS	6	0.926
BIOINSPIRATION BIOMIMETICS	5	0.772
SOFT ROBOTICS	5	0.772
SWARM INTELLIGENCE	5	0.772
INDUSTRIAL ROBOT AN INTERNATIONAL JOURNAL	4	0.617
INTERNATIONAL JOURNAL OF ROBOTICS AUTOMATION	3	0.463
JOURNAL OF FIELD ROBOTICS	3	0.463
JOURNAL OF MECHANISMS AND ROBOTICS TRANSACTIONS OF THE ASME	3	0.463
INDUSTRIAL ROBOT THE INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH AND APPLICATION	1	0.154
(0 來源出版品標題 {0} 個{1}值超出顯示選項。)
(0 記錄 (0.000%)在分析的欄位中，有 {0} 筆記錄{1} 不包含資料。)
