PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Chen, Wen-Jinn								Minimizing number of tardy jobs on a single machine subject to periodic maintenance								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	3			591	599		10.1016/j.omega.2008.01.001					JUN 2009	2009										52	3	0	1	0	55			0305-0483			WOS:000259851900010		
J	Caramia, M.; Guerriero, F.				Guerriero, Francesca/F-7670-2013	Guerriero, Francesca/0000-0002-3887-1317; Caramia, Massimiliano/0000-0002-9925-1306			A heuristic approach to long-haul freight transportation with multiple objective functions								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	3			600	614		10.1016/j.omega.2008.02.001					JUN 2009	2009										32	0	0	1	0	32			0305-0483			WOS:000259851900011		
J	Klein, Jonathan H.								Ackoff's Fables revisited: stories to inform operational research practice								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	3			615	623		10.1016/j.omega.2008.02.006					JUN 2009	2009										0	0	0	0	0	0			0305-0483			WOS:000259851900012		
J	Pentico, David W.; Drake, Matthew J.; Toews, Carl					Drake, Matthew/0000-0002-7777-8916			The deterministic EPQ with partial backordering: A new approach								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	3			624	636		10.1016/j.omega.2008.03.002					JUN 2009	2009										61	0	0	1	0	61			0305-0483			WOS:000259851900013		
J	Hong, Sung-Pil; Kim, Kyung Min; Lee, Kyungsik; Park, Bum Hwan					KIM, KYUNGMIN/0000-0001-7491-9595			A pragmatic algorithm for the train-set routing: The case of Korea high-speed railway								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	3			637	645		10.1016/j.omega.2008.03.003					JUN 2009	2009										25	2	0	3	0	27			0305-0483			WOS:000259851900014		
J	Yao, Don-Qing; Yue, Xiaohang; Mukhopadhyay, Samar K.; Wang, Ziping								Strategic inventory deployment for retail and e-tail stores								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	3			646	658		10.1016/j.omega.2008.04.001					JUN 2009	2009										37	7	0	0	0	44			0305-0483			WOS:000259851900015		
J	Sevastjanov, Pavel; Dymova, Ludmila					Dymova, Ludmila/0000-0002-5387-9990; Sevastjanov, Pavel/0000-0003-0401-4525			Stock screening with use of multiple criteria decision making and optimization								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	3			659	671		10.1016/j.omega.2008.04.002					JUN 2009	2009										16	1	0	0	0	17			0305-0483			WOS:000259851900016		
J	Shimshak, Daniel G.; Lenard, Melanie L.; Klimberg, Ronald K.								Incorporating quality into data envelopment analysis of nursing home performance: A case study								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	3			672	685		10.1016/j.omega.2008.05.004					JUN 2009	2009										52	2	0	5	2	55			0305-0483			WOS:000259851900017	20161166	
J	Tseng, Fang-Mei; Chiu, Yu-Jing; Chen, Ja-Shen								Measuring business performance in the high-tech manufacturing industry: A case study of Taiwan's large-sized TFT-LCD panel companies								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	3			686	697		10.1016/j.omega.2007.07.004					JUN 2009	2009										66	0	0	1	0	66			0305-0483			WOS:000259851900018		
J	Driouchi, Tarik; Leseure, Michel; Bennett, David				Bennett, David J/I-7491-2012	Bennett, David J/0000-0003-1480-8652			A robustness framework for monitoring real options under uncertainty								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				37	3			698	710		10.1016/j.omega.2007.09.004					JUN 2009	2009										21	0	0	0	0	21			0305-0483			WOS:000259851900019		
